Meas No,Distance (cm),Permittivity (mV),Probe Soil Moisture (%),Comments
800,41200,399,,
801,41300,465,,
802,41400,251,,
803,41500,359,,
804,41600,978,,
805,41700,423,,
806,41800,366,,
807,41900,414,,
808,42000,528,,
809,42100,560,,
810,42200,449,,
811,42300,406,,
812,42400,472,,
813,42500,405,,
814,42600,538,,
815,42700,554,,
816,42800,636,,
817,42900,694,,
818,43000,591,,
819,43100,560,,
820,43200,478,,
821,43300,438,,
822,43400,366,,
823,43500,506,,
824,43600,383,,
825,43700,403,,
826,43800,410,,
827,43900,463,,
828,44000,189,,
829,44100,172,,
830,44200,443,,
831,44300,223,,
832,44400,368,,
833,44500,554,,
834,44600,421,,
835,44700,437,,
836,44800,364,,
837,44900,410,,
838,45000,408,,
839,45100,503,,
840,45200,467,,
841,45300,562,,
842,45400,480,,
843,45500,512,,
844,45600,557,,
845,45700,430,,
846,45800,232,,
847,45900,358,,
848,46000,346,,
849,46100,451,,
850,46200,477,,
851,46300,510,,
852,46400,367,,
853,46500,358,,
854,46600,543,,
855,46700,695,,
856,46800,535,,
857,46900,285,,
858,47000,310,,
859,47100,739,,
860,47200,645,,
861,47300,362,,
862,47400,367,,
863,47500,332,,
864,47600,327,,
865,47700,370,,
866,47800,358,,
867,47900,385,,
868,48000,335,,
869,48100,415,,
870,48200,341,,
871,48300,313,,
872,48400,483,,
873,48500,569,,
874,48600,555,,
875,48700,639,,
876,48800,458,,
877,48900,487,,
878,49000,501,,
879,49100,607,,
880,49200,616,,
881,49300,630,,
882,49400,504,,
883,49500,593,,
884,49600,582,,
885,49700,576,,
886,49800,666,,
887,49900,646,,
888,50000,750,,
889,50100,581,,
890,50200,589,,
891,50300,547,,
892,50400,558,,
893,50500,418,,
894,50600,422,,
895,50700,540,,
896,50800,542,,
897,50900,463,,
898,51000,525,,
899,51100,649,,
900,51200,517,,
901,51300,482,,
902,51400,494,,
903,51500,449,,
904,51600,442,,
905,51700,435,,
906,51800,429,,
907,51900,391,,
908,52000,568,,
909,52100,534,,
910,52200,427,,
911,52300,452,,
912,52400,472,,
913,52500,306,,
914,52600,330,,
915,52700,515,,
916,52800,530,,
917,52900,630,,
918,53000,615,,
919,53100,520,,
920,53200,501,,
921,53300,540,,
922,53400,409,,
923,53500,432,,
924,53600,468,,
925,53700,452,,
926,53800,402,,
927,53900,439,,
928,54000,472,,
929,54100,428,,
930,54200,529,,
931,54300,501,,
932,54400,416,,
933,54500,402,,
934,54600,343,,
935,54700,292,,
936,54800,310,,
937,54900,200,,
938,55000,182,,
939,55100,203,,
940,55200,262,,
941,55300,313,,
942,55400,462,,
943,55500,459,,
944,55600,301,,
945,55700,422,,
946,55800,451,,
947,55900,389,,
948,56000,389,,
949,56100,549,,
950,56200,386,,
951,56300,387,,
952,56400,402,,
953,56500,424,,
954,56600,318,,
955,56700,320,,
956,56800,528,,
957,56900,290,,
958,57000,303,,
959,57100,322,,
960,57200,631,,
961,57300,567,,
962,57400,582,,
963,57500,637,,
964,57600,684,,
965,57700,652,,
966,57800,633,,
967,57900,690,,
968,58000,541,,
969,58100,556,,
970,58200,659,,
971,58300,660,,
972,58400,662,,
973,58500,565,,
974,58600,522,,
975,58700,432,,
976,58800,386,,
977,58900,386,,
978,59000,460,,
979,59100,503,,
980,59200,501,,
981,59300,550,,
982,59400,652,,
983,59500,747,,
984,59600,716,,
